txnId,orderCreateTime,upc,productDescription,productLink,qty,price,deliveryType,osVersion,deviceType,appType,orderDispatchTime,picker,pickCompleteTime,lineCompleteStatus,orderCompleteStatus,pickUpRequestTime,orderDeliveryTime,customerPickUpStatus
1.00E+12,10/1/18 8:26,8.58E+11,Instant Pot Duo 6 quart programmable pressure cooker,https://www.target.com/p/instant-pot-duo-nova-6-quart-7-in-1-one-touch-multi-use-programmable-pressure-cooker-with-new-easy-seal-lid---8211--latest-model/-/A-54643166,1,69.95,driveUpDelivery,Android-8.1,Mobile,browser,10/1/18 8:35,pk224,10/1/18 8:54,TRUE,complete,10/1/18 9:40,10/1/18 9:45,pickUpCompleted
1.00E+12,10/1/18 8:26,6.48E+11,7oz Opalhouse Glass Jar Candle Sweet Almond Blossom,https://www.target.com/p/7oz-glass-jar-candle-sweet-almond-blossom---floral-collection---opalhouse--8482-/-/A-54012199,2,10.99,driveUpDelivery,Android-8.1,Mobile,browser,10/1/18 8:35,pk224,10/1/18 8:54,TRUE,complete,10/1/18 9:40,10/1/18 9:45,pickUpCompleted
1.00E+12,10/1/18 8:51,37000874744,Downy Liquid Detergent,https://www.target.com/p/tide-plus-a-touch-of-downy-april-fresh-high-efficiency-liquid-laundry-detergent---138-fl-oz/-/A-15071687,2,17.99,driveUpDelivery,Android-7.1.0,Desktop,app,10/1/18 9:09,pk240,10/1/18 9:34,TRUE,complete,10/1/18 10:21,10/1/18 10:26,pickUpCompleted
1.00E+12,10/1/18 9:17,4.90E+11,Up & Up AA Batteries,https://www.target.com/p/aa-batteries-10ct-up-up-153/-/A-53692528,3,8.49,driveUpDelivery,Android-7.0,Mobile,app,10/1/18 9:29,pk220,10/1/18 9:49,TRUE,complete,10/1/18 10:59,10/1/18 11:04,pickUpCompleted
1.00E+12,10/1/18 9:17,4.91E+11,Set of 3 Non-Stick Cookie Sheets Made By Design,https://www.target.com/p/set-of-3-non-stick-cookie-sheets-carbon-steel-made-by-design-8482/-/A-53118936,1,13,driveUpDelivery,Android-7.0,Mobile,app,10/1/18 9:29,pk220,10/1/18 9:49,TRUE,complete,10/1/18 10:59,10/1/18 11:04,pickUpCompleted
1.00E+12,10/1/18 9:17,8.30E+11,Lemon Scent Dishwasher Tablets Smartly,https://www.target.com/p/lemon-scent-dishwasher-packs-32ct-smartly-8482/-/A-75666570,3,4.49,driveUpDelivery,Android-7.0,Mobile,app,10/1/18 9:29,pk220,10/1/18 9:49,TRUE,complete,10/1/18 10:59,10/1/18 11:04,pickUpCompleted
1.00E+12,10/1/18 9:42,5.00E+12,Dual action tinted moisturiser,https://www.target.com/p/no7-dual-action-tinted-moisturiser-spf-15-medium-1-6oz/-/A-14496960,1,11.99,driveUpDelivery,ios-10.3.3,Tablet,browser,10/1/18 9:51,pk224,10/1/18 10:13,TRUE,complete,10/1/18 11:07,10/1/18 11:12,pickUpCompleted
1.00E+12,10/1/18 10:06,5.00E+12,Dual action tinted moisturiser,https://www.target.com/p/no7-dual-action-tinted-moisturiser-spf-15-medium-1-6oz/-/A-14496960,2,11.99,driveUpDelivery,ios-10.3.4,Tablet,browser,10/1/18 10:17,pk224,10/1/18 10:37,TRUE,cancelled,---,---,--
1.00E+12,10/1/18 10:06,33200005445,Arm & Hammer Liquid Laundry Detergent,https://www.target.com/p/arm---38--hammer-plus-oxiclean-fresh-scent-liquid-laundry-detergent--224-fl-oz/-/A-49135699,1,11.99,driveUpDelivery,ios-10.3.4,Tablet,browser,10/1/18 10:17,pk224,10/1/18 10:37,TRUE,cancelled,---,---,--
1.00E+12,10/1/18 10:06,8.50E+11,Best Ride on Cars 12V BMW X5,https://www.target.com/p/best-ride-on-cars-12v-bmw-x5-powered-ride-on-white/-/A-80014941,1,499.99,driveUpDelivery,ios-10.3.4,Tablet,browser,10/1/18 10:17,pk224,10/1/18 10:37,FALSE,cancelled,---,---,--
